Lambda,E wait time,Edge Servers
0.4,0.629405690193292,1
0.6,0.7248482441261889,1
0.8,0.8544110781732254,1
1.0,1.0485916957552468,1
1.2,1.3644613213513894,1
1.4,1.9850792447342647,1
1.6,3.471464342355206,1
0.4,0.5055279109926298,2
0.8,0.5232949798408616,2
1.2,0.5526874859083697,2
1.6,0.6061329157281493,2
2.0,0.6933504069125801,2
2.4,0.8373293266365325,2
2.8,1.120649858612493,2
3.2,1.8804250283004145,2
3.6,8.472663041563571,2
0.4,0.5003557809593816,3
1.0,0.5037226627133005,3
1.6,0.5128444649146539,3
2.2,0.5351246139259724,3
2.8,0.5745380016113569,3
3.4,0.6457413108831416,3
4.0,0.7897035106362214,3
4.6,1.1291200877457985,3
5.2,2.633595979682421,3
5.4,5.86843427683211,3
3.4,3.015232211245533,2
